race_id,race_name,race_date,course,distance,surface,grade,horse_no,frame_no,horse_reg,horse_name,sex,birth_year,jockey,weight,career_starts,career_win_rate,jockey_win_rate,condition_aptitude,finish_position
2,レース0002,2025-03-09,中山,1800,DIRT,未勝利,9,5,H0000018,ウマ0018,セ,2021,高橋 大輔,56.0,20,0.233,0.068,0.585,5
2,レース0002,2025-03-09,中山,1800,DIRT,未勝利,10,5,H0000019,ウマ0019,セ,2021,鈴木 花子,56.0,10,0.185,0.054,0.508,9
2,レース0002,2025-03-09,中山,1800,DIRT,未勝利,11,6,H0000020,ウマ0020,セ,2020,田中 一郎,58.0,5,0.092,0.137,0.711,8
2,レース0002,2025-03-09,中山,1800,DIRT,未勝利,12,6,H0000021,ウマ0021,牡,2021,小林 蓮,56.0,9,0.172,0.113,0.591,11
2,レース0002,2025-03-09,中山,1800,DIRT,未勝利,13,7,H0000022,ウマ0022,牡,2021,中村 駿,58.0,9,0.189,0.052,0.48,10
3,レース0003,2025-07-15,東京,1600,DIRT,1勝,1,1,H0000023,ウマ0023,牝,2020,高橋 大輔,54.0,9,0.2,0.117,0.402,8
3,レース0003,2025-07-15,東京,1600,DIRT,1勝,2,1,H0000024,ウマ0024,牝,2020,鈴木 花子,57.0,17,0.073,0.15,0.733,7
3,レース0003,2025-07-15,東京,1600,DIRT,1勝,3,2,H0000025,ウマ0025,牡,2020,佐藤 健,58.0,16,0.243,0.038,0.764,1
3,レース0003,2025-07-15,東京,1600,DIRT,1勝,4,2,H0000026,ウマ0026,牡,2021,田中 一郎,57.0,15,0.255,0.095,0.561,2
3,レース0003,2025-07-15,東京,1600,DIRT,1勝,5,3,H0000027,ウマ0027,牝,2020,高橋 大輔,58.0,12,0.165,0.217,0.369,5
3,レース0003,2025-07-15,東京,1600,DIRT,1勝,6,3,H0000028,ウマ0028,牝,2020,田中 一郎,58.0,21,0.206,0.133,0.611,6
3,レース0003,2025-07-15,東京,1600,DIRT,1勝,7,4,H0000029,ウマ0029,牡,2020,山本 陽,58.0,5,0.0,0.146,0.49,9
3,レース0003,2025-07-15,東京,1600,DIRT,1勝,8,4,H0000030,ウマ0030,セ,2020,山本 陽,54.0,22,0.174,0.113,0.432,4
3,レース0003,2025-07-15,東京,1600,DIRT,1勝,9,5,H0000031,ウマ0031,牡,2022,渡辺 美咲,56.0,10,0.216,0.135,0.422,3
4,レース0004,2025-08-11,阪神,2400,TURF,3勝,1,1,H0000032,ウマ0032,セ,2020,鈴木 花子,54.0,20,0.083,0.236,0.368,11
4,レース0004,2025-08-11,阪神,2400,TURF,3勝,2,1,H0000033,ウマ0033,牡,2021,加藤 楓,55.0,25,0.196,0.168,0.889,4
4,レース0004,2025-08-11,阪神,2400,TURF,3勝,3,2,H0000034,ウマ0034,セ,2021,鈴木 花子,58.0,7,0.104,0.083,1.0,7
4,レース0004,2025-08-11,阪神,2400,TURF,3勝,4,2,H0000035,ウマ0035,セ,2021,高橋 大輔,56.0,24,0.163,0.235,0.545,5
4,レース0004,2025-08-11,阪神,2400,TURF,3勝,5,3,H0000036,ウマ0036,牡,2020,中村 駿,57.0,29,0.128,0.104,0.445,12
4,レース0004,2025-08-11,阪神,2400,TURF,3勝,6,3,H0000037,ウマ0037,牝,2022,中村 駿,56.0,20,0.179,0.134,0.584,9
4,レース0004,2025-08-11,阪神,2400,TURF,3勝,7,4,H0000038,ウマ0038,牝,2022,加藤 楓,55.0,7,0.053,0.15,0.554,10
4,レース0004,2025-08-11,阪神,2400,TURF,3勝,8,4,H0000039,ウマ0039,牡,2022,高橋 大輔,54.0,24,0.156,0.136,0.274,8
4,レース0004,2025-08-11,阪神,2400,TURF,3勝,9,5,H0000040,ウマ0040,セ,2020,高橋 大輔,57.0,30,0.337,0.199,0.739,1
4,レース0004,2025-08-11,阪神,2400,TURF,3勝,10,5,H0000041,ウマ0041,牝,2021,高橋 大輔,55.0,11,0.264,0.206,0.632,3
4,レース0004,2025-08-11,阪神,2400,TURF,3勝,11,6,H0000042,ウマ0042,牝,2020,高橋 大輔,57.0,29,0.263,0.172,0.785,2
4,レース0004,2025-08-11,阪神,2400,TURF,3勝,12,6,H0000043,ウマ0043,牡,2021,渡辺 美咲,55.0,11,0.253,0.107,0.706,6
5,レース0005,2025-11-27,京都,2400,DIRT,1勝,1,1,H0000044,ウマ0044,牝,2020,山本 陽,54.0,11,0.015,0.03,0.454,9
5,レース0005,2025-11-27,京都,2400,DIRT,1勝,2,1,H0000045,ウマ0045,セ,2020,中村 駿,57.0,21,0.298,0.146,0.371,4
5,レース0005,2025-11-27,京都,2400,DIRT,1勝,3,2,H0000046,ウマ0046,セ,2022,高橋 大輔,57.0,14,0.31,0.136,0.6,5
5,レース0005,2025-11-27,京都,2400,DIRT,1勝,4,2,H0000047,ウマ0047,牝,2022,伊藤 翼,54.0,24,0.0,0.181,0.771,3
5,レース0005,2025-11-27,京都,2400,DIRT,1勝,5,3,H0000048,ウマ0048,牡,2021,中村 駿,56.0,24,0.12,0.087,0.649,6
5,レース0005,2025-11-27,京都,2400,DIRT,1勝,6,3,H0000049,ウマ0049,牡,2021,山本 陽,54.0,22,0.179,0.099,0.383,8
5,レース0005,2025-11-27,京都,2400,DIRT,1勝,7,4,H0000050,ウマ0050,セ,2021,佐藤 健,57.0,24,0.141,0.098,0.384,7
5,レース0005,2025-11-27,京都,2400,DIRT,1勝,8,4,H0000051,ウマ0051,牡,2020,佐藤 健,55.0,3,0.273,0.161,0.441,2
5,レース0005,2025-11-27,京都,2400,DIRT,1勝,9,5,H0000052,ウマ0052,牡,2021,中村 駿,58.0,23,0.12,0.268,0.698,1
6,レース0006,2025-03-21,阪神,1800,DIRT,OP,1,1,H0000053,ウマ0053,セ,2022,小林 蓮,57.0,4,0.107,0.032,0.79,7
6,レース0006,2025-03-21,阪神,1800,DIRT,OP,2,1,H0000054,ウマ0054,牝,2022,加藤 楓,54.0,20,0.036,0.03,0.408,11
6,レース0006,2025-03-21,阪神,1800,DIRT,OP,3,2,H0000055,ウマ0055,セ,2021,佐藤 健,58.0,26,0.0,0.061,0.742,10
6,レース0006,2025-03-21,阪神,1800,DIRT,OP,4,2,H0000056,ウマ0056,牝,2022,小林 蓮,55.0,23,0.102,0.165,0.4,5
6,レース0006,2025-03-21,阪神,1800,DIRT,OP,5,3,H0000057,ウマ0057,セ,2020,佐藤 健,56.0,7,0.187,0.184,0.52,4
6,レース0006,2025-03-21,阪神,1800,DIRT,OP,6,3,H0000058,ウマ0058,牝,2021,加藤 楓,55.0,17,0.116,0.139,0.825,3
6,レース0006,2025-03-21,阪神,1800,DIRT,OP,7,4,H0000059,ウマ0059,牡,2022,中村 駿,58.0,18,0.127,0.147,0.208,8
6,レース0006,2025-03-21,阪神,1800,DIRT,OP,8,4,H0000060,ウマ0060,牝,2022,加藤 楓,57.0,28,0.274,0.177,0.556,2
6,レース0006,2025-03-21,阪神,1800,DIRT,OP,9,5,H0000061,ウマ0061,セ,2022,中村 駿,54.0,26,0.129,0.109,0.587,6
6,レース0006,2025-03-21,阪神,1800,DIRT,OP,10,5,H0000062,ウマ0062,セ,2020,中村 駿,55.0,21,0.275,0.159,0.724,1
6,レース0006,2025-03-21,阪神,1800,DIRT,OP,11,6,H0000063,ウマ0063,牝,2021,渡辺 美咲,57.0,9,0.161,0.125,0.489,9
7,レース0007,2025-07-09,京都,1800,DIRT,3勝,1,1,H0000064,ウマ0064,牝,2020,鈴木 花子,58.0,27,0.142,0.159,0.375,14
7,レース0007,2025-07-09,京都,1800,DIRT,3勝,2,1,H0000065,ウマ0065,牡,2020,小林 蓮,54.0,24,0.205,0.126,0.683,4
7,レース0007,2025-07-09,京都,1800,DIRT,3勝,3,2,H0000066,ウマ0066,牝,2020,山本 陽,57.0,22,0.193,0.221,0.838,2
7,レース0007,2025-07-09,京都,1800,DIRT,3勝,4,2,H0000067,ウマ0067,牡,2021,山本 陽,56.0,24,0.32,0.112,0.569,6
7,レース0007,2025-07-09,京都,1800,DIRT,3勝,5,3,H0000068,ウマ0068,セ,2022,高橋 大輔,55.0,6,0.127,0.171,0.455,12
7,レース0007,2025-07-09,京都,1800,DIRT,3勝,6,3,H0000069,ウマ0069,牝,2022,中村 駿,58.0,24,0.155,0.09,0.419,9
7,レース0007,2025-07-09,京都,1800,DIRT,3勝,7,4,H0000070,ウマ0070,牝,2021,鈴木 花子,56.0,16,0.031,0.089,0.705,13
7,レース0007,2025-07-09,京都,1800,DIRT,3勝,8,4,H0000071,ウマ0071,セ,2022,伊藤 翼,57.0,22,0.304,0.113,0.684,5
7,レース0007,2025-07-09,京都,1800,DIRT,3勝,9,5,H0000072,ウマ0072,セ,2022,伊藤 翼,57.0,13,0.056,0.152,0.341,15
7,レース0007,2025-07-09,京都,1800,DIRT,3勝,10,5,H0000073,ウマ0073,セ,2022,中村 駿,55.0,13,0.281,0.054,0.868,1
7,レース0007,2025-07-09,京都,1800,DIRT,3勝,11,6,H0000074,ウマ0074,牝,2021,渡辺 美咲,55.0,11,0.276,0.226,0.613,3
7,レース0007,2025-07-09,京都,1800,DIRT,3勝,12,6,H0000075,ウマ0075,セ,2021,小林 蓮,55.0,20,0.282,0.077,0.546,7
7,レース0007,2025-07-09,京都,1800,DIRT,3勝,13,7,H0000076,ウマ0076,牡,2020,伊藤 翼,57.0,10,0.193,0.134,0.275,11
7,レース0007,2025-07-09,京都,1800,DIRT,3勝,14,7,H0000077,ウマ0077,牝,2022,加藤 楓,58.0,13,0.125,0.151,0.461,10
7,レース0007,2025-07-09,京都,1800,DIRT,3勝,15,8,H0000078,ウマ0078,牡,2022,高橋 大輔,56.0,13,0.106,0.097,0.709,8
8,レース0008,2025-12-16,中京,1400,TURF,OP,1,1,H0000079,ウマ0079,牝,2020,渡辺 美咲,54.0,8,0.16,0.196,0.566,2
8,レース0008,2025-12-16,中京,1400,TURF,OP,2,1,H0000080,ウマ0080,牡,2022,伊藤 翼,55.0,25,0.059,0.105,0.817,5
8,レース0008,2025-12-16,中京,1400,TURF,OP,3,2,H0000081,ウマ0081,牝,2021,小林 蓮,54.0,13,0.3,0.105,0.551,3
8,レース0008,2025-12-16,中京,1400,TURF,OP,4,2,H0000082,ウマ0082,牡,2021,小林 蓮,57.0,5,0.138,0.137,0.604,8
8,レース0008,2025-12-16,中京,1400,TURF,OP,5,3,H0000083,ウマ0083,牡,2020,加藤 楓,56.0,27,0.059,0.095,0.74,9
8,レース0008,2025-12-16,中京,1400,TURF,OP,6,3,H0000084,ウマ0084,セ,2021,小林 蓮,58.0,17,0.314,0.072,0.672,4
8,レース0008,2025-12-16,中京,1400,TURF,OP,7,4,H0000085,ウマ0085,セ,2020,高橋 大輔,54.0,23,0.145,0.194,0.34,7
8,レース0008,2025-12-16,中京,1400,TURF,OP,8,4,H0000086,ウマ0086,セ,2020,佐藤 健,55.0,3,0.23,0.148,0.807,1
8,レース0008,2025-12-16,中京,1400,TURF,OP,9,5,H0000087,ウマ0087,セ,2021,鈴木 花子,56.0,24,0.064,0.172,0.504,6
9,レース0009,2025-09-08,京都,1800,TURF,G2,1,1,H0000088,ウマ0088,牡,2021,山本 陽,55.0,26,0.184,0.064,0.235,11
9,レース0009,2025-09-08,京都,1800,TURF,G2,2,1,H0000089,ウマ0089,牝,2022,加藤 楓,56.0,18,0.271,0.03,0.362,8
9,レース0009,2025-09-08,京都,1800,TURF,G2,3,2,H0000090,ウマ0090,セ,2021,田中 一郎,57.0,5,0.218,0.068,0.643,4
9,レース0009,2025-09-08,京都,1800,TURF,G2,4,2,H0000091,ウマ0091,セ,2021,山本 陽,54.0,4,0.198,0.204,0.703,1
9,レース0009,2025-09-08,京都,1800,TURF,G2,5,3,H0000092,ウマ0092,牝,2020,山本 陽,58.0,16,0.088,0.133,0.439,10
9,レース0009,2025-09-08,京都,1800,TURF,G2,6,3,H0000093,ウマ0093,牡,2020,渡辺 美咲,56.0,16,0.111,0.086,0.69,9
9,レース0009,2025-09-08,京都,1800,TURF,G2,7,4,H0000094,ウマ0094,セ,2020,小林 蓮,57.0,5,0.225,0.116,0.411,6
9,レース0009,2025-09-08,京都,1800,TURF,G2,8,4,H0000095,ウマ0095,牡,2022,加藤 楓,58.0,17,0.149,0.171,0.73,2
9,レース0009,2025-09-08,京都,1800,TURF,G2,9,5,H0000096,ウマ0096,牝,2022,小林 蓮,56.0,27,0.163,0.102,0.61,7
9,レース0009,2025-09-08,京都,1800,TURF,G2,10,5,H0000097,ウマ0097,セ,2022,高橋 大輔,57.0,25,0.247,0.143,0.651,5
9,レース0009,2025-09-08,京都,1800,TURF,G2,11,6,H0000098,ウマ0098,牡,2020,小林 蓮,58.0,6,0.234,0.164,0.741,3
10,レース0010,2025-07-27,阪神,2000,DIRT,3勝,1,1,H0000099,ウマ0099,セ,2022,佐藤 健,55.0,30,0.079,0.136,0.453,6
10,レース0010,2025-07-27,阪神,2000,DIRT,3勝,2,1,H0000100,ウマ0100,セ,2021,田中 一郎,57.0,12,0.193,0.208,0.682,4
10,レース0010,2025-07-27,阪神,2000,DIRT,3勝,3,2,H0000101,ウマ0101,牝,2021,渡辺 美咲,55.0,20,0.154,0.036,0.318,10
10,レース0010,2025-07-27,阪神,2000,DIRT,3勝,4,2,H0000102,ウマ0102,セ,2020,山本 陽,56.0,15,0.116,0.134,0.375,8
10,レース0010,2025-07-27,阪神,2000,DIRT,3勝,5,3,H0000103,ウマ0103,セ,2022,佐藤 健,57.0,18,0.196,0.216,0.836,3
10,レース0010,2025-07-27,阪神,2000,DIRT,3勝,6,3,H0000104,ウマ0104,牡,2021,鈴木 花子,58.0,19,0.22,0.155,0.529,7
10,レース0010,2025-07-27,阪神,2000,DIRT,3勝,7,4,H0000105,ウマ0105,牝,2021,山本 陽,55.0,25,0.193,0.125,0.775,5
10,レース0010,2025-07-27,阪神,2000,DIRT,3勝,8,4,H0000106,ウマ0106,セ,2021,渡辺 美咲,56.0,23,0.323,0.114,0.594,1
10,レース0010,2025-07-27,阪神,2000,DIRT,3勝,9,5,H0000107,ウマ0107,セ,2021,高橋 大輔,54.0,26,0.15,0.047,0.584,9
10,レース0010,2025-07-27,阪神,2000,DIRT,3勝,10,5,H0000108,ウマ0108,セ,2021,田中 一郎,54.0,4,0.163,0.247,0.818,2
11,レース0011,2025-07-05,東京,1600,DIRT,2勝,1,1,H0000109,ウマ0109,牝,2022,高橋 大輔,55.0,18,0.183,0.181,0.503,7
11,レース0011,2025-07-05,東京,1600,DIRT,2勝,2,1,H0000110,ウマ0110,牝,2021,田中 一郎,57.0,28,0.128,0.154,0.498,5
11,レース0011,2025-07-05,東京,1600,DIRT,2勝,3,2,H0000111,ウマ0111,牝,2022,中村 駿,56.0,25,0.108,0.139,0.482,3
11,レース0011,2025-07-05,東京,1600,DIRT,2勝,4,2,H0000112,ウマ0112,牝,2020,高橋 大輔,55.0,15,0.17,0.13,0.898,1
11,レース0011,2025-07-05,東京,1600,DIRT,2勝,5,3,H0000113,ウマ0113,セ,2022,田中 一郎,57.0,22,0.074,0.101,0.7,8
11,レース0011,2025-07-05,東京,1600,DIRT,2勝,6,3,H0000114,ウマ0114,牡,2022,渡辺 美咲,56.0,10,0.177,0.127,0.21,10
11,レース0011,2025-07-05,東京,1600,DIRT,2勝,7,4,H0000115,ウマ0115,セ,2022,田中 一郎,55.0,12,0.098,0.077,0.424,12
11,レース0011,2025-07-05,東京,1600,DIRT,2勝,8,4,H0000116,ウマ0116,牡,2021,渡辺 美咲,56.0,26,0.051,0.133,0.504,9
11,レース0011,2025-07-05,東京,1600,DIRT,2勝,9,5,H0000117,ウマ0117,牝,2020,伊藤 翼,56.0,29,0.128,0.147,0.634,4
11,レース0011,2025-07-05,東京,1600,DIRT,2勝,10,5,H0000118,ウマ0118,牝,2020,小林 蓮,56.0,5,0.001,0.253,0.388,11
11,レース0011,2025-07-05,東京,1600,DIRT,2勝,11,6,H0000119,ウマ0119,セ,2021,鈴木 花子,57.0,28,0.329,0.231,0.734,2
11,レース0011,2025-07-05,東京,1600,DIRT,2勝,12,6,H0000120,ウマ0120,セ,2022,伊藤 翼,54.0,21,0.069,0.099,0.637,6
11,レース0011,2025-07-05,東京,1600,DIRT,2勝,13,7,H0000121,ウマ0121,セ,2021,山本 陽,57.0,10,0.086,0.178,0.363,13
12,レース0012,2025-02-05,阪神,2400,DIRT,1勝,1,1,H0000122,ウマ0122,牡,2022,佐藤 健,57.0,15,0.277,0.143,0.564,5
12,レース0012,2025-02-05,阪神,2400,DIRT,1勝,2,1,H0000123,ウマ0123,セ,2020,中村 駿,57.0,23,0.052,0.151,0.531,8
12,レース0012,2025-02-05,阪神,2400,DIRT,1勝,3,2,H0000124,ウマ0124,牝,2020,渡辺 美咲,57.0,9,0.0,0.177,0.672,4
12,レース0012,2025-02-05,阪神,2400,DIRT,1勝,4,2,H0000125,ウマ0125,セ,2021,田中 一郎,56.0,15,0.0,0.173,0.601,7
12,レース0012,2025-02-05,阪神,2400,DIRT,1勝,5,3,H0000126,ウマ0126,牡,2022,山本 陽,57.0,3,0.148,0.109,1.0,3
12,レース0012,2025-02-05,阪神,2400,DIRT,1勝,6,3,H0000127,ウマ0127,セ,2020,山本 陽,55.0,9,0.257,0.144,0.866,1
12,レース0012,2025-02-05,阪神,2400,DIRT,1勝,7,4,H0000128,ウマ0128,セ,2020,伊藤 翼,55.0,30,0.169,0.144,0.429,6
12,レース0012,2025-02-05,阪神,2400,DIRT,1勝,8,4,H0000129,ウマ0129,牡,2020,田中 一郎,54.0,14,0.445,0.115,0.238,2
12,レース0012,2025-02-05,阪神,2400,DIRT,1勝,9,5,H0000130,ウマ0130,牝,2020,佐藤 健,56.0,26,0.14,0.139,0.421,9
13,レース0013,2025-08-15,中京,2400,TURF,G2,1,1,H0000131,ウマ0131,セ,2022,伊藤 翼,58.0,17,0.199,0.071,0.715,10
13,レース0013,2025-08-15,中京,2400,TURF,G2,2,1,H0000132,ウマ0132,牝,2022,鈴木 花子,57.0,18,0.247,0.122,0.515,4
13,レース0013,2025-08-15,中京,2400,TURF,G2,3,2,H0000133,ウマ0133,牝,2022,山本 陽,55.0,20,0.157,0.077,0.678,11
13,レース0013,2025-08-15,中京,2400,TURF,G2,4,2,H0000134,ウマ0134,牝,2022,山本 陽,58.0,16,0.133,0.118,0.379,13
13,レース0013,2025-08-15,中京,2400,TURF,G2,5,3,H0000135,ウマ0135,牡,2021,小林 蓮,58.0,10,0.294,0.175,0.707,1
13,レース0013,2025-08-15,中京,2400,TURF,G2,6,3,H0000136,ウマ0136,牡,2021,中村 駿,57.0,13,0.076,0.05,0.724,12
13,レース0013,2025-08-15,中京,2400,TURF,G2,7,4,H0000137,ウマ0137,牡,2020,中村 駿,54.0,6,0.136,0.088,0.784,8
13,レース0013,2025-08-15,中京,2400,TURF,G2,8,4,H0000138,ウマ0138,セ,2022,加藤 楓,55.0,13,0.347,0.128,0.376,6
13,レース0013,2025-08-15,中京,2400,TURF,G2,9,5,H0000139,ウマ0139,セ,2020,伊藤 翼,57.0,22,0.135,0.085,0.85,3
13,レース0013,2025-08-15,中京,2400,TURF,G2,10,5,H0000140,ウマ0140,セ,2021,高橋 大輔,58.0,30,0.027,0.121,0.628,14
13,レース0013,2025-08-15,中京,2400,TURF,G2,11,6,H0000141,ウマ0141,牝,2022,山本 陽,58.0,22,0.315,0.191,0.344,9
13,レース0013,2025-08-15,中京,2400,TURF,G2,12,6,H0000142,ウマ0142,セ,2021,田中 一郎,58.0,8,0.293,0.101,0.345,5
13,レース0013,2025-08-15,中京,2400,TURF,G2,13,7,H0000143,ウマ0143,セ,2022,中村 駿,55.0,5,0.158,0.214,0.697,2
13,レース0013,2025-08-15,中京,2400,TURF,G2,14,7,H0000144,ウマ0144,セ,2020,中村 駿,54.0,16,0.14,0.174,0.748,7
14,レース0014,2025-12-11,京都,1600,TURF,3勝,1,1,H0000145,ウマ0145,牡,2022,鈴木 花子,55.0,11,0.2,0.066,0.601,3
14,レース0014,2025-12-11,京都,1600,TURF,3勝,2,1,H0000146,ウマ0146,牝,2020,加藤 楓,58.0,6,0.195,0.081,0.616,8
14,レース0014,2025-12-11,京都,1600,TURF,3勝,3,2,H0000147,ウマ0147,牡,2020,中村 駿,58.0,22,0.155,0.15,0.445,10
14,レース0014,2025-12-11,京都,1600,TURF,3勝,4,2,H0000148,ウマ0148,牝,2021,渡辺 美咲,55.0,6,0.071,0.162,0.591,7
14,レース0014,2025-12-11,京都,1600,TURF,3勝,5,3,H0000149,ウマ0149,セ,2021,鈴木 花子,55.0,15,0.329,0.134,0.629,1
14,レース0014,2025-12-11,京都,1600,TURF,3勝,6,3,H0000150,ウマ0150,牡,2021,山本 陽,54.0,16,0.259,0.139,0.51,4
14,レース0014,2025-12-11,京都,1600,TURF,3勝,7,4,H0000151,ウマ0151,牡,2022,小林 蓮,54.0,29,0.053,0.095,0.473,5
14,レース0014,2025-12-11,京都,1600,TURF,3勝,8,4,H0000152,ウマ0152,牡,2021,山本 陽,57.0,15,0.202,0.112,0.392,6
14,レース0014,2025-12-11,京都,1600,TURF,3勝,9,5,H0000153,ウマ0153,牡,2022,鈴木 花子,56.0,19,0.091,0.122,0.489,11
14,レース0014,2025-12-11,京都,1600,TURF,3勝,10,5,H0000154,ウマ0154,セ,2020,高橋 大輔,56.0,6,0.256,0.03,0.526,9
14,レース0014,2025-12-11,京都,1600,TURF,3勝,11,6,H0000155,ウマ0155,セ,2021,小林 蓮,54.0,27,0.216,0.156,0.307,12
14,レース0014,2025-12-11,京都,1600,TURF,3勝,12,6,H0000156,ウマ0156,セ,2021,渡辺 美咲,58.0,7,0.089,0.069,0.458,13
14,レース0014,2025-12-11,京都,1600,TURF,3勝,13,7,H0000157,ウマ0157,セ,2020,伊藤 翼,58.0,17,0.086,0.151,0.332,15
14,レース0014,2025-12-11,京都,1600,TURF,3勝,14,7,H0000158,ウマ0158,牡,2022,山本 陽,56.0,19,0.062,0.114,0.568,14
14,レース0014,2025-12-11,京都,1600,TURF,3勝,15,8,H0000159,ウマ0159,セ,2022,高橋 大輔,54.0,13,0.091,0.174,0.833,2
15,レース0015,2025-02-26,中京,1200,TURF,未勝利,1,1,H0000160,ウマ0160,牡,2020,高橋 大輔,54.0,25,0.138,0.167,0.452,8
15,レース0015,2025-02-26,中京,1200,TURF,未勝利,2,1,H0000161,ウマ0161,牝,2021,渡辺 美咲,56.0,24,0.09,0.151,0.445,5
15,レース0015,2025-02-26,中京,1200,TURF,未勝利,3,2,H0000162,ウマ0162,牡,2022,中村 駿,56.0,12,0.172,0.058,0.367,14
15,レース0015,2025-02-26,中京,1200,TURF,未勝利,4,2,H0000163,ウマ0163,セ,2022,佐藤 健,55.0,14,0.178,0.228,0.788,3
15,レース0015,2025-02-26,中京,1200,TURF,未勝利,5,3,H0000164,ウマ0164,セ,2020,伊藤 翼,57.0,20,0.153,0.103,0.794,6
15,レース0015,2025-02-26,中京,1200,TURF,未勝利,6,3,H0000165,ウマ0165,セ,2021,加藤 楓,58.0,14,0.066,0.192,0.654,12
15,レース0015,2025-02-26,中京,1200,TURF,未勝利,7,4,H0000166,ウマ0166,牝,2020,高橋 大輔,55.0,7,0.056,0.173,0.568,11
15,レース0015,2025-02-26,中京,1200,TURF,未勝利,8,4,H0000167,ウマ0167,セ,2020,渡辺 美咲,58.0,27,0.222,0.165,0.601,2
15,レース0015,2025-02-26,中京,1200,TURF,未勝利,9,5,H0000168,ウマ0168,セ,2022,佐藤 健,55.0,26,0.076,0.08,0.386,15
15,レース0015,2025-02-26,中京,1200,TURF,未勝利,10,5,H0000169,ウマ0169,セ,2021,高橋 大輔,57.0,20,0.094,0.15,0.491,10
15,レース0015,2025-02-26,中京,1200,TURF,未勝利,11,6,H0000170,ウマ0170,牡,2021,山本 陽,57.0,17,0.121,0.139,1.0,1
15,レース0015,2025-02-26,中京,1200,TURF,未勝利,12,6,H0000171,ウマ0171,セ,2020,伊藤 翼,55.0,4,0.109,0.14,0.388,9
15,レース0015,2025-02-26,中京,1200,TURF,未勝利,13,7,H0000172,ウマ0172,セ,2022,鈴木 花子,58.0,12,0.254,0.066,0.266,4
15,レース0015,2025-02-26,中京,1200,TURF,未勝利,14,7,H0000173,ウマ0173,牡,2021,渡辺 美咲,57.0,3,0.226,0.145,0.345,13
15,レース0015,2025-02-26,中京,1200,TURF,未勝利,15,8,H0000174,ウマ0174,牡,2021,高橋 大輔,56.0,3,0.214,0.087,0.642,7
16,レース0016,2025-01-10,東京,1400,DIRT,G3,1,1,H0000175,ウマ0175,牡,2020,田中 一郎,57.0,11,0.268,0.102,0.698,1
16,レース0016,2025-01-10,東京,1400,DIRT,G3,2,1,H0000176,ウマ0176,牡,2021,高橋 大輔,58.0,12,0.047,0.136,0.65,9
16,レース0016,2025-01-10,東京,1400,DIRT,G3,3,2,H0000177,ウマ0177,牝,2022,加藤 楓,54.0,3,0.228,0.156,0.389,10
